fire_name,fire_size,fire_size_class,Cause,latitude,longitude,state,discovery_month,putout_time,discovery_year,Vegetation,fire_mag,Temp_cont,Wind_cont,Hum_cont,remoteness
FY2003-BARTOW-006,3,B,Arson,34.31863882,-84.89151561,GA,Aug,0,2002,16,0.1,0,0,0,0.160234899
8TH HOLE,1766,F,Miscellaneous,39.5519,-119.6652,NV,Jun,2,2000,0,50,24.44067797,3.362711864,32.27118644,0.491129031
SNIDER,1,B,Debris Burning,47.60666667,-115.22,MT,Mar,0,1995,15,0.1,0,0,0,0.443492756
HOLLOWAY,2,B,Miscellaneous,45.0333,-101.1254,SD,Oct,0,1992,9,0.1,-1,-1,-1,0.305887515
FRANKS RD FIRE,16,C,Lightning,32.09136,-96.95972,TX,Oct,0,2011,12,1,0,0,0,0.272835188
SQUIRREL,0.8,B,Lightning,33.78555556,-108.7016667,NM,Jun,1,1999,16,0.1,0,0,0,0.38459801
FOWLER CREEK,2,B,Debris Burning,47.17398,-121.05123,WA,May,10,2008,15,0.1,2.772046589,3.441498559,88.48181818,0.502774947
DENNY,3,B,Debris Burning,35.9667,-110.584,AZ,Mar,0,1996,15,0.1,0,0,0,0.401780472
FY2002-BULLOCH-137,0.98,B,Arson,32.3893,-81.588,GA,May,0,2002,12,0.1,0,0,0,0.132029619
FAIRVIEW,6,B,Equipment Use,33.7161111,-116.871111,CA,May,0,2010,16,0.1,0,0,0,0.466058063
CASH-ABC COMPLEX,6,B,Lightning,32.82916667,-87.00416667,AL,Jul,0,2000,12,0.1,-1,-1,-1,0.180315582
TOWNHALL,0.6,B,Miscellaneous,43.68,-85.81,MI,Apr,0,2013,9,0.1,0,0,0,0.163975531
BARNES FIRE,2,B,Debris Burning,37.83625,-85.54896,KY,Mar,0,2011,0,0.1,0,0,0,0.164092995
7055,6,B,Lightning,31.70405,-95.31631667,TX,Jul,0,2013,12,0.1,0,0,0,0.257694757
ALCHESAY,1.9,B,Lightning,33.93,-109.9207,AZ,Aug,0,1996,16,0.1,0,0,0,0.39650294
RIVERA,5,B,Equipment Use,35.7619444,-106.598333,NM,May,11,2010,15,0.1,13.15025253,4.886616162,28.87357775,0.362765132
TUTON,1,B,Lightning,33.0123,-105.428,NM,Jul,0,2002,16,0.1,0,0,0,0.353152188
WOHLFORD 3,3,B,Missing/Undefined,33.178331,-116.97159,CA,Jul,0,2009,16,0.1,0,0,0,0.467438437
17CALIBER,1,B,Equipment Use,46.6711,-92.5881,MN,Apr,0,2012,15,0.1,0,0,0,0.225146076
1191,4,B,Debris Burning,37.6,-97.52,KS,Feb,0,2015,0,0.1,0,0,0,0.274649402
JENKINS FORK #2,6,B,Arson,38.09469758,-81.18977161,WV,Apr,0,2013,0,0.1,0,0,0,0.124986139
GLAD,0.7,B,Lightning,45.425,-101.7796,SD,Sep,0,1998,9,0.1,-1,-1,-1,0.312043921
R7,1,B,Children,47.8666,-95.1336,MN,Mar,0,1995,15,0.1,0,0,0,0.248599956
2NDCHANCE,130,D,Debris Burning,45.2155,-107.6201,MT,Oct,0,2003,9,3,0,0,0,0.368657313
FY2013-PIERCE-004,1.1,B,Debris Burning,31.46638889,-82.23573056,GA,Jan,0,2012,12,0.1,0,0,0,0.138462111
FY2012-BULLOCH-044,15.04,C,Debris Burning,32.32505456,-81.89207404,GA,Feb,0,2012,12,1,0,0,0,0.134776848
POWERLINE FIRE,21.3,C,Miscellaneous,35.86266666,-82.40991666,NC,May,0,2014,15,1,-1,-1,-1,0.137066146
160,1,B,Arson,47.9822,-99.0025,ND,Apr,0,2005,15,0.1,-1,-1,-1,0.285016295
30157,5,B,Debris Burning,35.57558333,-94.92695001,OK,Mar,0,2011,15,0.1,0,0,0,0.251455736
MILE MARKER 146,2,B,Missing/Undefined,33.9247,-104.6103,NM,May,0,2008,16,0.1,-1,-1,-1,0.344606838
HOTSPRINGS,2,B,Debris Burning,43.0083,-108.8354,WY,Apr,0,1996,9,0.1,0,0,0,0.381251202
SCHOLHOUSE,47,C,Debris Burning,33.1667,-116.6342,CA,Jan,1,1991,16,1,0,0,0,0.464036892
CENTURY,1,B,Miscellaneous,34.29972222,-118.27,CA,Oct,0,2008,16,0.1,0,0,0,0.479847939
TOAD,1390,F,Lightning,37.70666667,-111.8302778,UT,Aug,63,2007,0,50,16.97565947,3.355515588,50.17745803,0.413157883
INGALLS CREEK,3,B,Lightning,47.46111111,-120.7052778,WA,Sep,8,2012,15,0.1,-1,-1,-1,0.499173912
FY2002-WARREN-035,8.68,B,Lightning,33.298,-82.4603,GA,May,0,2002,16,0.1,-1,-1,-1,0.139152209
JIM CREEK,2.7,B,Debris Burning,48.35331,-119.20617,WA,Feb,0,2015,15,0.1,0,0,0,0.483704603
FIVE STAR,153,D,Missing/Undefined,38.385,-93.666667,MO,Mar,0,2012,0,3,0,0,0,0.238149936
HENDERSON - 068,1,B,Debris Burning,32.26045515,-94.21443691,TX,Feb,0,2009,12,0.1,0,0,0,0.247000365
084 VOLUNTEER,1,B,Arson,30.99166667,-93.04166667,LA,Aug,0,2000,12,0.1,-1,-1,-1,0.237036754
LMU LGT 56,2,B,Lightning,40.95655,-120.92275,CA,Aug,0,1999,15,0.1,0,0,0,0.503371476
SUNDANCE,10,C,Lightning,37.1983,-108.7307,CO,Jun,0,2001,0,1,0,0,0,0.382812996
GARCIA 2,2,B,Arson,39.49388889,-123.0936111,CA,Sep,6,1998,0,0.1,26.2972973,1.481081081,44.7027027,0.526349239
SHELL,1,B,Lightning,33.585,-109.4733333,AZ,Jul,2,1998,16,0.1,31.64583333,2.577083333,40.52083333,0.39232296
W.PRYORS,5,B,Lightning,45.3166,-108.584,MT,Jul,2,1996,9,0.1,0,0,0,0.378078921
LOVE CEM. RD.,2,B,Miscellaneous,37.3532486,-88.16657257,KY,Nov,0,2013,0,0.1,0,0,0,0.188071056
FY2000-SCREVEN-055,2.57,B,Debris Burning,32.7664,-81.7882,GA,Feb,0,2000,12,0.1,-1,-1,-1,0.133540672
4.72E+12,1,B,Railroad,30.5069631,-88.95722031,MS,Jul,0,2014,12,0.1,0,0,0,0.199808547
BALL HILL,15,C,Debris Burning,37.56805556,-91.37972222,MO,Mar,0,2007,0,1,0,0,0,0.217399151
CR 392 (07),2,B,Miscellaneous,30.2696,-85.1999,FL,Mar,0,2012,12,0.1,0,0,0,0.165917495
RL036,3,B,Arson,48.1225,-95.5536,MN,Apr,0,2008,15,0.1,0,0,0,0.252486456
FY2001-THOMAS-018,5.7,B,Debris Burning,30.8816,-84.0553,GA,Dec,0,2000,12,0.1,-1,-1,-1,0.155158129
KENTON,15,C,Arson,33.3167,-110.4342,AZ,May,2,2005,16,1,26.48979592,4.195918367,16.69387755,0.401985581
JACKS POINT,245,D,Lightning,37.74222222,-103.8605556,CO,Jul,1,2005,0,3,-1,-1,-1,0.33508829
WALTER,10,C,Equipment Use,40.8366,-109.07651,UT,Jul,0,1997,15,1,-1,-1,-1,0.384452448
HAZ HOGS,1,B,Debris Burning,43.2089,-102.7844,SD,Feb,0,2012,9,0.1,0,0,0,0.322352138
PINEY BRANCH,76,C,Arson,37.30833333,-84.23194444,KY,Nov,0,2004,0,1,-1,-1,-1,0.152530644
BLACK CREEK,2,B,Campfire,33.34583333,-97.59583333,TX,Mar,1,2005,16,0.1,17.95833333,5.0625,37.54166667,0.277948348
WALKER MTN #4,5,B,Debris Burning,34.81944444,-94.59166667,OK,Aug,0,2000,16,0.1,-1,-1,-1,0.248791546
HORSESHOE LAKE,2.6,B,Miscellaneous,48.1113,-114.6507,MT,Sep,0,2009,15,0.1,0,0,0,0.437688086
AIRPORT 1,4,B,Arson,41.0481,-123.6728,CA,Jul,0,2014,15,0.1,0,0,0,0.531651242
THIRTY,1,B,Miscellaneous,36.373483,-88.85985,TN,Jun,0,2011,0,0.1,0,0,0,0.194940957
TWO FINGER,27,C,Arson,36.72,-84.34166667,KY,Mar,0,1995,0,1,0,0,0,0.153840777
PARKER CANYON,1,B,Campfire,31.42833333,-110.4505556,AZ,May,0,2007,12,0.1,0,0,0,0.403498077
20126,40,C,Arson,34.7875,-95.83444444,OK,Jul,0,2012,16,1,0,0,0,0.260435518
05-02-NOV/MORRIS FIRE-1807,1.5,B,Debris Burning,30.3864,-82.2025,FL,Dec,0,2010,12,0.1,0,0,0,0.138993358
HAMPTON 5 (53),30,C,Arson,28.2821,-81.9995,FL,May,0,2013,12,1,0,0,0,0.138915611
SYCAMORE,25,C,Miscellaneous,36.26065,-121.3885,CA,Aug,0,2013,0,1,-1,-1,-1,0.510487317
RUBY,2,B,Miscellaneous,38.16083333,-120.2441667,CA,Jun,1,2007,0,0.1,14.25833333,2.4,39.91666667,0.497724175
CUTTING TORCH FIRE,4,B,Miscellaneous,35.7575,-89.48283,TN,Apr,0,2007,15,0.1,0,0,0,0.20099791
SLASH,1.5,B,Lightning,42.88333333,-122.6833333,OR,Aug,1,2013,4,0.1,22.44848485,1.596969697,51.18181818,0.520733016
RL037,1.5,B,Debris Burning,47.8744,-94.9836,MN,Apr,0,2004,15,0.1,0,0,0,0.247196433
PINE WOOD (5),5,B,Arson,27.8586,-80.5224,FL,Oct,0,2010,12,0.1,0,0,0,0.126184934
RL 337,1.5,B,Arson,47.8806,-94.8939,MN,Apr,0,2015,15,0.1,0,0,0,0.246357233
HWY. 157,18.9,C,Debris Burning,35.03595,-88.919017,TN,Mar,0,2010,15,1,0,0,0,0.196282761
MCBAIN RD,2,B,Debris Burning,35.43395,-85.7944,TN,Mar,0,2014,15,0.1,-1,-1,-1,0.167668548
"1405 CARR RD, AL",5,B,Arson,33.4160704,-86.288571,AL,Mar,0,2011,16,0.1,-1,-1,-1,0.173431724
EL MIRAGE,20,C,Miscellaneous,34.6922,-117.5356,CA,Aug,0,2005,16,1,0,0,0,0.472146496
FFS 136/ 184 WF,4.3,B,Missing/Undefined,25.987958,-80.492903,FL,Mar,0,2015,12,0.1,0,0,0,0.127617631
LAWN CHAIR,2,B,Missing/Undefined,35.83265,-78.59518333,NC,Feb,0,2011,15,0.1,0,0,0,0.103360391
BLITZEN,85,C,Lightning,42.7511,-118.8508,OR,Aug,3,2013,4,1,-1,-1,-1,0.481519723
NO ACCESS,2.5,B,Miscellaneous,33.3417,-112.2124,AZ,May,0,2000,16,0.1,0,0,0,0.419598743
CEDAR CANYON,120,D,Debris Burning,36.5972,-96.3836,OK,Mar,0,2007,0,3,0,0,0,0.264503822
SPAR PEAK,3,B,Lightning,48.22333333,-115.9883333,MT,Jul,0,1994,15,0.1,0,0,0,0.451118096
COUNTY LINE,2.5,B,Lightning,34.5,-104.066667,NM,Jul,0,2011,16,0.1,0,0,0,0.338974621
NORTHCINDR,64,C,Lightning,43.23469,-115.95306,ID,Jul,1,2000,9,1,28.42307692,5.936842105,26.21052632,0.452008796
ANDRADE,1,B,Miscellaneous,32.7789,-114.5902,CA,May,0,1999,12,0.1,-1,-1,-1,0.443735103
TREE,1,B,Arson,45.6916,-107.5312,MT,Mar,0,1999,15,0.1,0,0,0,0.367664015
SENGER,10.8,C,Debris Burning,47.917,-98.888,ND,Apr,0,2003,15,1,-1,-1,-1,0.28394171
CALPAC4,4,B,Arson,41.0332,-123.6512,CA,Jul,0,1999,15,0.1,0,0,0,0.531433953
415 POWERLINES (64),4,B,Lightning,28.9279,-81.1449,FL,Jul,0,2015,12,0.1,0,0,0,0.130782004
LOUISIANA MAN,2,B,Arson,31.03416667,-89.03361111,MS,Nov,3,1999,12,0.1,16.27777778,0.919444444,87.47457627,0.200099911
FY2000-GORDON-066,4.86,B,Arson,34.4644,-84.9869,GA,Mar,0,2000,16,0.1,0,0,0,0.16099887
ORGAN,13804,G,Lightning,32.2834,-107.1672,NM,Jun,18,1994,12,100,31.90113636,2.479545455,21.65530303,0.370605485
POTTER 2,5,B,Lightning,35.5603,-101.7264,TX,Jul,0,1997,15,0.1,0,0,0,0.315798845
WHITE,5,B,Debris Burning,45.5386,-97.0623,SD,Apr,0,2001,15,0.1,0,0,0,0.267201292
IRON HAWK,2,B,Arson,46.3886,-100.5875,ND,Mar,0,2008,9,0.1,0,0,0,0.300411274
COOPERS CR.,5,B,Debris Burning,35.46692,-83.38553,NC,May,1,2008,15,0.1,19.58181818,1.945454545,47.65454545,0.146010045
BUTTE DIVI,400,E,Lightning,44.6961,-104.785,WY,Aug,3,2005,15,10,-1,-1,-1,0.341198093
SALLY BULL,6,B,Arson,35.7351,-94.5472,OK,Jan,0,2001,15,0.1,-1,-1,-1,0.247814339
25 MILE II,2096,F,Miscellaneous,48.0072,-120.2425,WA,Jul,118,2013,15,50,24.42803235,3.93787062,34.40161725,0.49433979
RND BALE 2,1,B,Miscellaneous,48.1103,-105.2097,MT,Aug,0,1995,15,0.1,0,0,0,0.344542579
(MA) ROSEMARY ONE (433),40,C,Lightning,27.1714,-80.3775,FL,Jul,0,2010,12,1,0,0,0,0.125512171
NE 30136,4,B,Arson,35.7083,-94.6808,OK,Mar,0,2010,15,0.1,0,0,0,0.249077166
7059,30,C,Debris Burning,31.23718333,-95.52326667,TX,Nov,0,2014,12,1,0,0,0,0.259980521
COOPER CREEK,2,B,Campfire,44.14166667,-86.39166667,MI,Sep,0,1996,15,0.1,0,0,0,0.169086593
VAN10310565,3,B,Equipment Use,35.7055,-92.5757,AR,Mar,0,2014,15,0.1,0,0,0,0.229505915
ARMIGO,1.5,B,Lightning,34.06833333,-108.5841667,NM,Aug,2,2000,16,0.1,26.27083333,3.560416667,32.35416667,0.383257055
WNA 19,60,C,Lightning,39.8417,-119.4422,NV,Sep,0,2011,0,1,0,0,0,0.488720769
77TH RD(61),1,B,Debris Burning,30.0086,-82.9029,FL,Jan,0,2011,12,0.1,0,0,0,0.145534092
LINDEN - 6147,1,B,Arson,32.84175,-94.92268333,TX,Jul,0,2012,12,0.1,0,0,0,0.253196546
ERVIN BROWN ROAD FIRE,100,D,Arson,36.301767,-84.688617,TN,Mar,1,2014,0,3,-1,-1,-1,0.15719532
FLARE,2,B,Arson,40.584779,-73.884935,NY,Feb,0,1993,15,0.1,0,0,0,0.05998723
MOSS SPRINGS,2.5,B,Lightning,45.29222222,-117.7013889,OR,Jul,4,2006,9,0.1,22.57692308,3.170979021,39.46853147,0.469059187
TH1701,1,B,Arson,47.9881,-98.9985,ND,Apr,0,2004,15,0.1,-1,-1,-1,0.284977345
POTATO,1,B,Arson,47.8408,-98.6742,ND,May,0,2012,15,0.1,-1,-1,-1,0.281928751
REPEATER,1980,F,Arson,42.10083333,-124.1177778,OR,Sep,11,1999,9,50,-1,-1,-1,0.535842615
OLD DOWNED POWERLINE,5,B,Arson,34.93653333,-79.68273333,NC,Apr,0,2010,16,0.1,-1,-1,-1,0.11346998
WUNDER,1,B,Fireworks,42.2241,-104.53213,WY,Jun,0,2014,9,0.1,-1,-1,-1,0.339562712
POWERLINES,57.7,C,Powerline,42.8692,-113.7228,ID,Jul,4,2005,4,1,23.92391304,3.201086957,44.7032967,0.429748755
INVERNESS (26),2.5,B,Arson,26.7213,-81.2184,FL,Oct,0,2013,12,0.1,0,0,0,0.13336179
REFUSED FIRE,1,B,Debris Burning,35.42,-106.4519,NM,Mar,0,2008,15,0.1,0,0,0,0.361544041
PRIVATE FARM RD,16,C,Debris Burning,38.78046069,-82.14759424,WV,Jul,1,1999,0,1,25.47826087,1.208695652,69.76190476,0.133146975
STILES COMPLEX,67008,G,Missing/Undefined,32.835556,-103.437778,NM,Mar,2,2008,12,100,16.95454545,7.877272727,23.72727273,0.334020886
30483,3,B,Debris Burning,36.1834,-95.04943333,OK,Apr,0,2003,0,0.1,-1,-1,-1,0.252239874
FY2000-MILLER-047,0.65,B,Debris Burning,31.1903,-84.5752,GA,Feb,0,2000,12,0.1,0,0,0,0.159588112
LONG BRANCH,225,D,Miscellaneous,31.41666667,-88.86666667,MS,Apr,0,1996,12,3,0,0,0,0.198285993
CO. RT. 17,2,B,Equipment Use,38.60870563,-80.69084641,WV,Mar,0,1992,0,0.1,-1,-1,-1,0.120307281
CHARLIE,1,B,Debris Burning,48.3069,-109.873,MT,Apr,0,1999,15,0.1,-1,-1,-1,0.390130666
GALVESTON,15,C,Debris Burning,37.43859,-82.61755,KY,Oct,1,2012,0,1,-1,-1,-1,0.138023918
FY2001-DECATUR-053,1.85,B,Smoking,30.9161,-84.6333,GA,Feb,0,2001,12,0.1,0,0,0,0.1603188
FY2002-FLOYD-044,18.17,C,Arson,34.1216,-85.1902,GA,Nov,0,2001,16,1,0,0,0,0.163050885
CACHE,2,B,Lightning,41.0962,-109.213797,WY,Sep,4,2007,15,0.1,17.28190476,4.311428571,55.8952381,0.385695235
MOSS BUFF 18,2.5,B,Debris Burning,29.09666667,-81.84833333,FL,Feb,0,2000,12,0.1,0,0,0,0.136884483
BUNYARD,1.5,B,Arson,41.7031,-120.2078,CA,Oct,1,2009,15,0.1,12.92916667,2.0125,62.66666667,0.495751734
MOSELEY MOUNTAIN FIRE,6,B,Fireworks,36.15235,-81.64301666,NC,May,0,2014,0,0.1,0,0,0,0.130075222
JOHN DEERE,1,B,Lightning,45.5442,-104.0653,MT,Aug,0,2005,15,0.1,0,0,0,0.334005724
HOGANS HOLE,1,B,Lightning,42.2019,-124.2464,OR,Jun,0,2015,9,0.1,-1,-1,-1,0.537137658
MACK LAKE,7,B,Arson,30.08833333,-84.62666667,FL,May,0,1998,12,0.1,0,0,0,0.160905309
EJ RANCH,60,C,Lightning,32.9117,-105.0403,NM,Jul,2,2011,12,1,31.35211268,3.138028169,30.36619718,0.349460466
S5WEST BOUINK MTN,10,C,Arson,36.4976,-84.0349,TN,Nov,0,2009,0,1,0,0,0,0.151215695
OAK II,5,B,Arson,39.45583333,-122.9402778,CA,Oct,0,1996,0,0.1,0,0,0,0.524784298
TALLULAH RIVER #3,39,C,Arson,34.93166667,-83.54861111,GA,Mar,2,2007,16,1,7.721804511,0.533834586,63.70634921,0.147798744
FY2002-APPLING-057,1.22,B,Debris Burning,31.8238,-82.2566,GA,Apr,0,2002,12,0.1,-1,-1,-1,0.138383137
CARIBOU,35,C,Children,46.88333474,-67.93333373,ME,May,0,1993,15,1,0,0,0,0.007351791
LITTLE SAL,9,B,Lightning,39.3666,-108.584,CO,Aug,2,1994,0,0.1,0,0,0,0.380267724
FY2002-IRWIN-047,2.03,B,Debris Burning,31.5498,-83.1529,GA,Mar,0,2002,12,0.1,-1,-1,-1,0.1465781
NEVADA.,12,C,Equipment Use,38.95111111,-120.4336111,CA,Jul,0,2003,0,1,0,0,0,0.499266986
CALDWELL,15,C,Debris Burning,35.2294,-85.546217,TN,Nov,0,2012,15,1,-1,-1,-1,0.165555044
GILBERT CREEK,845,E,Arson,37.59062073,-81.86765424,WV,Apr,2,1995,0,10,-1,-1,-1,0.131267586
FLATIRON,35,C,Powerline,43.0166,-115.6842,ID,Jun,0,1995,9,1,0,0,0,0.449375286
LILLIAN,150,D,Arson,35.3186,-95.82,OK,Apr,0,2006,15,3,0,0,0,0.259969809
ROLLOVER CREEK,1,B,Missing/Undefined,35.13733333,-77.21416667,NC,Feb,0,2011,15,0.1,0,0,0,0.091698728
LONG POND,275,D,Debris Burning,38.38472222,-76.03805556,MD,Feb,0,2008,0,3,0,0,0,0.07963413
DUNN,3,B,Arson,44.2106,-99.7886,SD,Mar,0,2012,15,0.1,0,0,0,0.293377197
PAYSON DUMP,18,C,Miscellaneous,40.036694,-111.82,UT,Aug,1,2012,14,1,-1,-1,-1,0.411916855
FY2002-TIFT-042,1.62,B,Debris Burning,31.4471,-83.6148,GA,Jan,0,2001,12,0.1,-1,-1,-1,0.150784443
DUMP,10,C,Miscellaneous,34.28388889,-118.4,CA,Jan,0,2002,16,1,0,0,0,0.481178882
OREO LANE,1,B,Debris Burning,41.11917,-75.33167,PA,Apr,0,2012,15,0.1,0,0,0,0.072255317
1058,12,C,Miscellaneous,32.51423132,-88.58962174,MS,Oct,0,2015,12,1,0,0,0,0.194956673
LIBERTY,1,B,Miscellaneous,47.9825,-102.3933,ND,Jul,0,2012,15,0.1,-1,-1,-1,0.317378991
BARE MT,33362.6,G,Lightning,64.1719,-156.6764,AK,Jun,59,2015,0,100,16.49671403,2.621066667,68.14636364,0.891829613
FY2002-HOUSTON-037,137,D,Debris Burning,32.4584,-83.5088,GA,Feb,0,2002,12,3,0,0,0,0.149097835
HUNSINGER,8,B,Lightning,41.13055556,-120.7888889,CA,Jul,1,1999,15,0.1,22.30434783,3.895652174,52.65217391,0.50192793
COYOTE,56,C,Arson,35.983867,-118.8871,CA,Jul,0,2010,15,1,0,0,0,0.485080135
DRY CREEK,4,B,Miscellaneous,38.16166667,-83.40694444,KY,Apr,1,2013,0,0.1,-1,-1,-1,0.144691042
LUCY BROOK,139,D,Miscellaneous,44.07138889,-71.19722222,NH,Nov,1,2004,15,3,-2.125,1.441666667,59.125,0.035688504
RUNNER,363,E,Equipment Use,45.2397,-100.984,SD,Aug,0,2012,9,10,0,0,0,0.304480375
KELLYS CREEK,8,B,Debris Burning,38.25877737,-81.38329799,WV,Mar,0,1998,0,0.1,-1,-1,-1,0.12661809
OTA 144,0.6,B,Arson,43.2342,-116.035,ID,Jul,0,2011,9,0.1,0,0,0,0.452834706
FY2012-GRADY-023,1,B,Debris Burning,31.05511933,-84.23353313,GA,Mar,0,2012,12,0.1,0,0,0,0.156623779
WALTON CREEK,4,B,Lightning,40.405,-106.7658333,CO,Jun,2,2001,14,0.1,-1,-1,-1,0.362001591
VALDEZ FIRE,0.9,B,Arson,35.7331,-94.54,OK,Jan,0,2015,15,0.1,0,0,0,0.247748361
RIGHT FLAN,2,B,Lightning,36.4634,-105.4647,NM,Aug,0,2000,0,0.1,0,0,0,0.35132433
LIBBY,3,B,Miscellaneous,41.34722222,-106.2561111,WY,Aug,2,2012,15,0.1,-1,-1,-1,0.356638638
A1302056,35,C,Smoking,42.0372,-96.2847,NE,Apr,0,2002,9,1,0,0,0,0.26100027
3RD KENNDEY,1,B,Arson,35.080833,-87.230583,TN,Nov,0,2013,15,0.1,0,0,0,0.180882861
GREENBRIAR ESTATES  (55),5.6,B,Arson,30.0444,-81.5845,FL,Apr,0,2012,12,0.1,0,0,0,0.133770421
ROY,10.1,C,Arson,47.255,-94.53833333,MN,Apr,1,1998,15,1,-1,-1,-1,0.243153915
MINE,146.09,D,Miscellaneous,37.62,-91.10333333,MO,Mar,1,2005,0,3,10.57916667,6.1625,43.5,0.214824614
ALDRICH BRANCH #2,224,D,Arson,37.30563104,-81.80807305,WV,Nov,1,2012,0,3,16.07142857,2.102857143,26.1,0.130891542
PARKER,1000,F,Lightning,45.46222222,-114.6616667,ID,Jul,93,2000,9,50,18.82234957,1.583861671,45.04761905,0.438362148
LOST SLOUG,5,B,Debris Burning,36.2783,-121.4127,CA,Aug,0,1998,0,0.1,-1,-1,-1,0.510725524
FALKOR,0.75,B,Lightning,43.16222222,-122.7361111,OR,Aug,1,2014,9,0.1,25.77307692,2.6,50.84615385,0.521181263
R182,1,B,Children,47.8666,-95.1336,MN,May,0,1996,15,0.1,0,0,0,0.248599956
LEWIS,1,B,Equipment Use,34.346789,-116.51735,CA,Jun,0,1998,16,0.1,0,0,0,0.462069738
JONES LOOP 485,2,B,Debris Burning,35.369767,-88.983783,TN,Mar,0,2013,15,0.1,0,0,0,0.196668526
RL305,1,B,Debris Burning,47.8833,-94.8836,MN,Apr,0,1998,15,0.1,-1,-1,-1,0.24626054
WHITE HORS,20,C,Lightning,42.1416,-118.4777,OR,Aug,1,1996,9,1,-1,-1,-1,0.477947093
SCONA LODGE,30,C,Arson,35.5,-84.00833333,TN,Apr,0,1997,15,1,0,0,0,0.151565114
03/N. KIMBREL AVE-0116,1.5,B,Miscellaneous,30.1618,-85.5815,FL,Feb,0,2011,12,0.1,-1,-1,-1,0.16944121
HASTINGS,5,B,Children,34.17527778,-118.0708333,CA,Jul,0,2008,16,0.1,0,0,0,0.477906672
DICK BRANCH,1,B,Debris Burning,35.31166667,-83.875,NC,Apr,0,1997,15,0.1,-1,-1,-1,0.150485229
FY2011-COFFEE-066,50.3,C,Debris Burning,31.57602318,-82.83308319,GA,Mar,0,2011,12,1,0,0,0,0.143703545
SUMMIT,1,B,Smoking,39.33777778,-122.7461111,CA,Oct,0,1999,0,0.1,0,0,0,0.522836787
NEWTON,34,C,Arson,38.56593494,-81.3289545,WV,Mar,0,1998,0,1,-1,-1,-1,0.125980997
SAND CREEK,5,B,Miscellaneous,43.35412,-116.24078,ID,Oct,1,2012,9,0.1,13.90140845,4.626760563,24.98591549,0.454869341
OLD AIRPORT 3,0.8,B,Fireworks,48.1156,-105.1758,MT,Jun,0,2012,15,0.1,0,0,0,0.344212833
FY2011-CLAY-025,6.4,B,Lightning,31.56438218,-84.9359075,GA,Jun,0,2011,12,0.1,0,0,0,0.162549791
R16,13,C,Debris Burning,47.8666,-95.2003,MN,Mar,0,1995,15,1,0,0,0,0.249223701
SHIPROCK01,140,D,Children,36.7833,-108.684,NM,Mar,0,2000,0,3,0,0,0,0.382584305
BEN SPRINGS,1,B,Lightning,35.94444444,-106.7194444,NM,Jun,1,2006,15,0.1,15.95774648,3.657894737,61.84210526,0.363837808
TRACKS,1.5,B,Lightning,45.2125,-105.4867,MT,Jul,0,2004,9,0.1,-1,-1,-1,0.347860922
SLADE ROAD,2,B,Debris Burning,36.25438333,-79.65645,NC,Nov,0,2013,0,0.1,0,0,0,0.112443714
SHOCKEY,1,B,Structure,32.6167,-116.4175,CA,Jul,0,2004,12,0.1,0,0,0,0.462232582
RRMP415,3,B,Railroad,43.24667,-115.86529,ID,Aug,0,1992,9,0.1,0,0,0,0.451120527
OLD MAN,16.2,C,Arson,32.95194444,-79.68361111,SC,Nov,0,2000,12,1,-1,-1,-1,0.114788662
OAK,1,B,Debris Burning,39.162477,-121.204498,CA,Feb,0,2015,0,0.1,0,0,0,0.507063248
TP,1,B,Debris Burning,35.817833,-88.374,TN,Jun,0,2007,15,0.1,0,0,0,0.190833831
SABAL PALM (11),20,C,Lightning,26.0987,-81.6515,FL,Jul,0,2014,12,1,0,0,0,0.137779392
10517,446,E,Lightning,34.09183334,-94.71716665,OK,Sep,0,2011,16,10,0,0,0,0.25043058
SACK CREEK,1.5,B,Lightning,44.325,-115.3583333,ID,Aug,2,1998,15,0.1,-1,-1,-1,0.445676057
KOELLING,8,B,Miscellaneous,34.2814,-96.5242,OK,Jul,0,2006,16,0.1,0,0,0,0.267234003
FY2002-WILCOX-051,0.9,B,Miscellaneous,31.9099,-83.351,GA,May,0,2002,12,0.1,-1,-1,-1,0.148082695
30389,35,C,Arson,36.00046667,-94.75208333,OK,Mar,0,2009,0,1,0,0,0,0.24956911
9.12E+12,2,B,Campfire,31.36248939,-89.67220826,MS,Dec,0,2014,12,0.1,0,0,0,0.205694033
340 N. OLDENWAY,15,C,Miscellaneous,46.4264,-120.3764,WA,May,0,2007,9,1,0,0,0,0.496022199
JUNEAU'S,0.8,B,Fireworks,48.5666,-113.0176,MT,Jul,0,1994,16,0.1,-1,-1,-1,0.421281251
KEE FIRE,2,B,Debris Burning,35.17505,-89.36079,TN,Feb,0,2007,15,0.1,0,0,0,0.200234938
KEELING,0.75,B,Debris Burning,32.298,-109.8729,AZ,May,0,2013,12,0.1,0,0,0,0.397156665
HENDERSON - 7111,1,B,Lightning,31.87072222,-95.57558333,TX,Aug,0,2012,12,0.1,0,0,0,0.259999181
MACHINE,80.1,C,Missing/Undefined,64.8086,-147.6517,AK,Apr,0,2015,0,1,0,0,0,0.789763248
BLUEJAY 97,4,B,Lightning,32.735,-110.0133333,AZ,May,2,1997,12,0.1,0,0,0,0.398231841
BECK,27.5,C,Equipment Use,27.4781,-97.2808,TX,Jun,0,2013,12,1,-1,-1,-1,0.279575825
